iter	Logloss
0	0.6510476477
1	0.6158252207
2	0.5934190252
3	0.5748895454
4	0.559108322
5	0.5332147454
6	0.523475749
7	0.5146971373
8	0.5068873697
9	0.4977419285
10	0.4914828155
11	0.4860794781
12	0.4821436059
13	0.4765177632
14	0.4660690814
15	0.4618732422
16	0.4567949431
17	0.4538664081
18	0.4479194914
19	0.4455032359
20	0.4398503232
21	0.4362290957
22	0.4329226244
23	0.4303022987
24	0.4283185133
25	0.4258798181
26	0.4242504895
27	0.4233681387
28	0.4218874803
29	0.4194373883
30	0.4177468103
31	0.4145375059
32	0.411830978
33	0.4104477514
34	0.4093845805
35	0.4086301959
36	0.407425273
37	0.404998155
38	0.4029468818
39	0.4002241019
40	0.397887029
41	0.3965280481
42	0.3932987934
43	0.3920436535
44	0.3911733075
45	0.3897176913
46	0.3887997437
47	0.3877660229
48	0.3877645438
49	0.3863922887
50	0.3851118922
51	0.3838417828
52	0.3824219616
53	0.3812205401
54	0.3803888494
55	0.3786742791
56	0.3778389447
57	0.3766352431
58	0.3756317857
59	0.3745993986
60	0.3718227321
61	0.370886624
62	0.3701570999
63	0.3686352535
64	0.3672037545
65	0.3662369331
66	0.3652414146
67	0.3643980143
68	0.3629226907
69	0.3604319057
70	0.3590659006
71	0.3583636372
72	0.3568719182
73	0.356028675
74	0.3545298947
75	0.3535025495
76	0.3522280471
77	0.3513888366
78	0.3507884479
79	0.349764952
80	0.3491708257
81	0.3474662158
82	0.345755604
83	0.3445345219
84	0.3430889834
85	0.3423518296
86	0.3406150448
87	0.33862751
88	0.3378779128
89	0.3364932628
90	0.3354039087
91	0.3346636405
92	0.3337067274
93	0.3325673552
94	0.331782625
95	0.3309061239
96	0.3293213464
97	0.3274815029
98	0.3265162747
99	0.3251384965
100	0.3238033512
101	0.3222255197
102	0.3208105173
103	0.3194266465
104	0.3175131752
105	0.3168061084
106	0.3159268113
107	0.3153997698
108	0.3147397048
109	0.3134041987
110	0.3119441103
111	0.3101158197
112	0.3089010516
113	0.3075234779
114	0.3059861441
115	0.3045514173
116	0.3035746945
117	0.3022585236
118	0.3005877562
119	0.2995473529
120	0.2982353784
121	0.2975915194
122	0.2959859738
123	0.2947660182
124	0.2937043976
125	0.29230734
126	0.2912396455
127	0.2895672012
128	0.2886553182
129	0.2874450137
130	0.2865262952
131	0.2856612097
132	0.284219504
133	0.2833037508
134	0.2818058581
135	0.2811950571
136	0.2802420007
137	0.2792594539
138	0.2785583303
139	0.2779992209
140	0.2768605581
141	0.2757882489
142	0.2745376625
143	0.273165033
144	0.2721318734
145	0.2713392871
146	0.2705182873
147	0.2696926015
148	0.2688166299
149	0.2680784973
150	0.2669981099
151	0.26621422
152	0.265225555
153	0.2645675335
154	0.263361496
155	0.2628829544
156	0.2618652374
157	0.2606797553
158	0.2597812445
159	0.2589878337
160	0.2585619474
161	0.2576376074
162	0.2565671083
163	0.255585481
164	0.2544632575
165	0.2535931976
166	0.2532264342
167	0.2523420845
168	0.2515367515
169	0.2508462535
170	0.2500674424
171	0.2493113347
172	0.2483191307
173	0.2472865463
174	0.2466558406
175	0.2460005918
176	0.2453171112
177	0.2444686861
178	0.2436285143
179	0.2431998511
180	0.2426369516
181	0.2417824227
182	0.2409964668
183	0.2397191983
184	0.2390996096
185	0.2380604253
186	0.2370691139
187	0.2365841921
188	0.2357618044
189	0.2351507914
190	0.2340354293
191	0.233169333
192	0.2323110201
193	0.2316033536
194	0.2308275775
195	0.2300317675
196	0.2294943829
197	0.2291948172
198	0.2281892493
199	0.2271249581
200	0.2262915705
201	0.2255911286
202	0.224907944
203	0.2243959144
204	0.2238196007
205	0.2232449584
206	0.2227149104
207	0.2219733966
208	0.2212816728
209	0.2206768643
210	0.2200581173
211	0.2197460518
212	0.2192215576
213	0.2186390039
214	0.2180280601
215	0.2173979987
216	0.2169142764
217	0.2165551168
218	0.2157248147
219	0.2151738044
220	0.2143405685
221	0.2136682082
222	0.2130102876
223	0.2120444752
224	0.2115435258
225	0.2109428304
226	0.2104067162
227	0.2098347977
228	0.2091571578
229	0.2088479697
230	0.2082819814
231	0.2076149968
232	0.206798871
233	0.2060334547
234	0.2052644345
235	0.2046366974
236	0.2038842103
237	0.2033982942
238	0.202632143
239	0.2020263999
240	0.2015572745
241	0.2008911214
242	0.2004042028
243	0.2000076102
244	0.1993803898
245	0.1988167807
246	0.1981546545
247	0.1978173026
248	0.1972924786
249	0.1966998797
250	0.1961511169
251	0.1956266368
252	0.1952354114
253	0.1946994022
254	0.1944392327
255	0.1941370888
256	0.1938475933
257	0.1931189362
258	0.1926641063
259	0.1919153429
260	0.1915266498
261	0.190994973
262	0.1906841708
263	0.1901920798
264	0.1898056805
265	0.189139809
266	0.18847182
267	0.1876232913
268	0.1871077013
269	0.1866641912
270	0.1860847865
271	0.1855939106
272	0.1854000739
273	0.1846256149
274	0.1840491986
275	0.1836388987
276	0.1831841662
277	0.1826265908
278	0.1821896485
279	0.181717958
280	0.1813951723
281	0.1807845805
282	0.1804511955
283	0.1800585566
284	0.1796877162
285	0.1791187863
286	0.1786501757
287	0.1778743993
288	0.177447669
289	0.1768431774
290	0.1762497598
291	0.1759286833
292	0.1756598207
293	0.1750818449
294	0.1745361357
295	0.1741262037
296	0.1738260888
297	0.1734910142
298	0.1728665497
299	0.1723244118
300	0.1718320822
301	0.1714527734
302	0.1709956645
303	0.1704856867
304	0.1699878829
305	0.1696502777
306	0.1692995461
307	0.1689799217
308	0.1685650781
309	0.1680713815
310	0.167537679
311	0.1669656845
312	0.1666699486
313	0.1664576198
314	0.1660932153
315	0.1655627933
316	0.1651287818
317	0.1649046178
318	0.1643338643
319	0.163963839
320	0.1635684294
321	0.163390319
322	0.1630236793
323	0.1625858841
324	0.1622640012
325	0.1616536057
326	0.1613957967
327	0.1612372697
328	0.1608949914
329	0.1602778289
330	0.1598548535
331	0.1596573189
332	0.1593025285
333	0.1589271533
334	0.1585022548
335	0.1580264542
336	0.1575442828
337	0.1570816433
338	0.1568076699
339	0.1564926785
340	0.1560869233
341	0.1559121035
342	0.1556259512
343	0.1552746249
344	0.1548338189
345	0.1544286107
346	0.1539390902
347	0.1537641052
348	0.1531035955
349	0.1528012114
350	0.1523367469
351	0.1519741864
352	0.1515104789
353	0.1511800365
354	0.1508298409
