iter	Logloss
355	0.1505587002
356	0.1502453045
357	0.1499322297
358	0.1494584238
359	0.1490897324
360	0.1486947963
361	0.148367495
362	0.1481108444
363	0.1477886346
364	0.147397371
365	0.1471210357
366	0.1466551894
367	0.1462594753
368	0.1459797346
369	0.1456982134
370	0.1453855694
371	0.1450838262
372	0.1447339383
373	0.1443743293
374	0.1440471625
375	0.1437332566
376	0.1434736769
377	0.1431523751
378	0.142771237
379	0.1424265735
380	0.1420255836
381	0.1416636056
382	0.1413940827
383	0.1411670443
384	0.140815966
385	0.1406661552
386	0.1401805619
387	0.1399238999
388	0.1394088399
389	0.1393449047
390	0.1390700464
391	0.1385916848
392	0.138241174
393	0.1380508104
394	0.1377133339
395	0.1374357043
396	0.1371177316
397	0.1366910482
398	0.1363227289
399	0.1359899714
400	0.1355974049
401	0.1352519664
402	0.1348130554
403	0.134404119
404	0.1341413039
405	0.1338006654
406	0.1336900449
407	0.133359042
408	0.1330080758
409	0.1326145218
410	0.1323395672
411	0.1321109773
412	0.1317910267
413	0.1314938267
414	0.1311262854
415	0.1307124255
416	0.1305206401
417	0.1302506858
418	0.1298758741
419	0.1295396852
420	0.1292326289
421	0.1290413946
422	0.128745618
423	0.1283753734
424	0.1280250883
425	0.1275737284
426	0.1273546005
427	0.1270302979
428	0.1268643779
429	0.1265314109
430	0.1263932474
431	0.1263286138
432	0.1259688922
433	0.1256451261
434	0.1254646763
435	0.1251862716
436	0.1250131101
437	0.1247185678
438	0.124481773
439	0.1241357341
440	0.1239837233
441	0.1236135494
442	0.1233043213
443	0.1231568501
444	0.1228428834
445	0.1225929941
446	0.1223214446
447	0.1220748616
448	0.121705895
449	0.1216238711
450	0.1213982538
451	0.1210867645
452	0.1207629432
453	0.1205016811
454	0.1201875862
455	0.1198892906
456	0.1196590106
457	0.1194217306
458	0.11921833
459	0.1188826557
460	0.1187152157
461	0.1184146179
462	0.1179920938
463	0.1177879942
464	0.1174972915
465	0.1173719057
466	0.1171664106
467	0.1170107354
468	0.1166016317
469	0.1164177649
470	0.1161820614
471	0.1160507759
472	0.1159007866
473	0.1156854902
474	0.1155644043
475	0.1152918318
476	0.1150089004
477	0.1148017936
478	0.1144460942
479	0.1142694635
480	0.1139766591
481	0.1138040877
482	0.1137175301
483	0.1135377191
484	0.1133708416
485	0.1132049598
486	0.1129321287
487	0.1128076677
488	0.1124551337
489	0.1122628179
490	0.1120709126
491	0.1118581202
492	0.1115575147
493	0.1113272152
494	0.1110632944
495	0.110838574
496	0.1105096184
497	0.1102123308
498	0.1100818782
499	0.1098102015
